Dimensions,4
Normalised,20
evals,41000
key,dist,emissions,time,vehicles,dist,Actualemissions,ActualTime,ActualVehicles,ActualDistMicroDepot: Micro Depot 1,MicroDepot: Micro Depot 2,MicroDepot: Micro Depot 3,MicroDepot: Micro Depot 4,MicroDepot: Micro Depot 5,MicroDepot: Micro Depot 6,MicroDepot: Micro Depot 7,MicroDepot: Micro Depot 8,MicroDepot: Micro Depot 9,MicroDepot: Micro Depot 10,MicroDepot: Micro Depot 11,MicroDepot: Micro Depot 12,MicroDepot: Micro Depot 13,MicroDepot: Micro Depot 14,bike,walk,electric van,
15:10:13:15,2737.25,15,10,13,15,92.48,21.61,7.00,44.93,1,1,0,1,0,1,0,1,0,0,0,1,0,0,3,1,2,
19:17:11:19,2577.26,19,17,11,19,113.01,26.40,6.00,46.53,1,1,0,1,0,0,0,0,0,1,0,0,0,2,0,4,2,
19:18:4:18,1774.35,19,18,4,18,117.26,27.40,3.00,45.90,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,
19:18:4:19,2433.13,19,18,4,19,114.93,26.85,3.00,46.53,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,
19:18:4:16,1765.98,19,18,4,16,115.12,26.90,3.00,45.02,1,0,0,0,0,0,0,2,1,2,0,0,0,0,2,1,3,
19:18:4:17,1769.92,19,18,4,17,115.73,27.04,3.00,45.50,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,
19:18:4:10,1700.54,19,18,4,10,114.62,26.78,3.00,42.30,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2,
19:18:4:11,1096.46,19,18,4,11,116.10,27.13,3.00,43.12,0,0,0,0,0,0,2,1,1,0,1,0,0,0,4,0,1,
15:10:13:17,2690.65,15,10,13,17,90.32,21.10,7.00,45.56,1,0,0,0,0,0,1,1,1,0,1,1,0,0,2,2,2,
15:10:13:19,3401.40,15,10,13,19,92.83,21.69,7.00,46.54,0,1,0,1,0,0,0,0,1,0,2,1,0,1,3,1,3,
18:16:4:14,1757.84,18,16,4,14,110.53,25.82,3.00,44.29,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,
20:19:7:4,1034.92,20,19,7,4,119.18,27.85,4.00,39.86,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,0,
18:16:4:13,1703.22,18,16,4,13,109.40,25.56,3.00,43.70,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,
20:19:7:3,1032.02,20,19,7,3,119.17,27.84,4.00,39.28,1,1,0,0,0,1,1,1,1,0,0,0,0,0,2,4,0,
18:16:4:12,1750.85,18,16,4,12,110.79,25.88,3.00,43.25,0,0,0,0,1,0,1,1,0,0,1,0,0,0,3,0,1,
20:19:7:2,1081.79,20,19,7,2,119.60,27.94,4.00,39.10,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,3,0,
19:17:11:10,1238.59,19,17,11,10,113.66,26.56,6.00,42.31,0,0,0,0,1,0,0,1,0,0,3,1,0,3,4,3,2,
18:16:4:11,1748.60,18,16,4,11,110.22,25.75,3.00,42.73,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,
20:19:7:8,1043.75,20,19,7,8,119.39,27.90,4.00,41.56,0,0,0,0,1,0,0,3,1,0,0,0,1,0,1,3,2,
18:16:4:18,2424.97,18,16,4,18,109.80,25.65,3.00,46.05,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,
20:19:7:7,1042.22,20,19,7,7,120.40,28.13,4.00,40.94,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,
18:16:4:17,2420.64,18,16,4,17,109.28,25.53,3.00,45.50,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,
20:19:7:6,1039.96,20,19,7,6,119.99,28.04,4.00,40.61,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,
18:16:4:16,2417.81,18,16,4,16,109.35,25.55,3.00,45.09,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,
20:19:7:5,1037.05,20,19,7,5,119.93,28.02,4.00,40.05,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,1,
18:16:4:15,2415.41,18,16,4,15,110.89,25.91,3.00,44.54,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,
19:17:11:15,1350.91,19,17,11,15,113.68,26.56,6.00,44.77,0,1,0,0,1,0,0,0,0,1,1,1,2,0,4,3,0,
19:17:11:16,1253.01,19,17,11,16,114.08,26.65,6.00,45.06,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,3,1,
19:17:11:17,1353.89,19,17,11,17,113.28,26.47,6.00,45.49,0,5,0,0,0,1,2,0,0,1,0,0,0,0,4,1,4,
19:17:11:18,1869.86,19,17,11,18,113.00,26.40,6.00,45.91,0,2,0,0,1,0,1,0,0,0,1,0,0,1,0,5,1,
18:16:4:10,1699.82,18,16,4,10,110.82,25.89,3.00,42.58,0,0,1,0,0,0,0,0,0,3,0,0,0,1,1,3,1,
19:17:11:11,1242.23,19,17,11,11,113.74,26.58,6.00,43.01,1,0,0,1,1,1,0,0,0,1,0,0,1,0,2,3,1,
19:17:11:12,1244.64,19,17,11,12,113.98,26.63,6.00,43.42,1,0,1,0,1,0,0,0,1,0,1,0,0,0,2,3,0,
19:17:11:13,1295.61,19,17,11,13,112.93,26.39,6.00,43.94,0,1,1,1,1,1,0,0,0,1,0,0,0,0,3,2,1,
19:17:11:14,1247.13,19,17,11,14,112.99,26.40,6.00,44.23,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,3,1,
20:20:7:16,1083.73,20,20,7,16,133.60,31.21,4.00,45.13,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,3,1,
20:20:7:17,1118.77,20,20,7,17,122.77,28.69,4.00,45.51,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,2,1,
20:20:7:18,1123.13,20,20,7,18,124.30,29.04,4.00,45.90,1,0,1,0,0,1,0,0,0,1,0,0,0,0,2,2,0,
20:20:7:19,1132.70,20,20,7,19,128.97,30.13,4.00,46.36,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,2,0,
20:20:7:12,1060.61,20,20,7,12,124.79,29.16,4.00,43.25,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,
20:20:7:13,1062.93,20,20,7,13,124.99,29.20,4.00,43.65,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0,
