Dimensions,4
Normalised,20
evals,41000
key,dist,emissions,time,vehicles,dist,Actualemissions,ActualTime,ActualVehicles,ActualDistMicroDepot: Micro Depot 1,MicroDepot: Micro Depot 2,MicroDepot: Micro Depot 3,MicroDepot: Micro Depot 4,MicroDepot: Micro Depot 5,MicroDepot: Micro Depot 6,MicroDepot: Micro Depot 7,MicroDepot: Micro Depot 8,MicroDepot: Micro Depot 9,MicroDepot: Micro Depot 10,MicroDepot: Micro Depot 11,MicroDepot: Micro Depot 12,MicroDepot: Micro Depot 13,MicroDepot: Micro Depot 14,bike,walk,electric van,
18:15:7:5,1168.39,18,15,7,5,107.50,25.12,4.00,40.19,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,
17:15:11:16,1905.17,17,15,11,16,105.97,24.76,6.00,45.37,1,0,0,1,2,0,0,1,0,0,0,1,0,0,3,2,1,
17:15:11:15,1949.57,17,15,11,15,106.66,24.92,6.00,44.89,1,1,1,0,0,0,1,0,0,1,1,1,0,0,2,2,3,
17:15:11:18,2055.89,17,15,11,18,106.60,24.91,6.00,46.18,0,1,1,0,1,0,0,0,0,0,0,0,1,1,4,0,1,
17:15:11:17,1949.91,17,15,11,17,105.59,24.67,6.00,45.53,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,3,1,
20:20:18:20,1430.27,20,20,18,20,121.19,28.32,9.00,48.30,1,0,0,1,1,1,0,0,0,1,0,1,2,1,2,4,3,
16:12:16:17,2742.18,16,12,16,17,96.53,22.55,8.00,45.60,2,0,0,0,0,2,1,1,0,0,0,0,2,0,0,4,4,
17:15:11:12,2551.22,17,15,11,12,106.56,24.90,6.00,43.55,1,0,0,1,1,1,0,3,1,0,1,0,0,0,4,3,2,
17:15:11:11,1892.61,17,15,11,11,105.36,24.62,6.00,42.84,0,1,0,3,0,0,0,0,0,1,0,0,0,0,2,3,0,
17:15:11:14,1850.55,17,15,11,14,105.94,24.75,6.00,44.24,0,0,0,1,0,1,1,0,0,1,2,0,0,0,0,4,2,
17:15:11:13,1896.23,17,15,11,13,106.40,24.86,6.00,43.70,1,2,0,0,0,1,1,0,0,0,0,0,0,0,1,3,1,
18:15:7:6,1731.47,18,15,7,6,107.55,25.13,4.00,40.87,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,
18:15:7:7,1734.20,18,15,7,7,108.24,25.29,4.00,41.33,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,
18:15:7:8,1738.99,18,15,7,8,106.85,24.97,4.00,41.65,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,
18:15:7:9,1742.62,18,15,7,9,107.83,25.19,4.00,42.07,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,1,
16:11:16:20,2820.66,16,11,16,20,95.95,22.42,8.00,49.82,1,0,0,1,1,1,0,0,0,1,0,1,2,1,2,4,3,
17:15:11:20,1916.70,17,15,11,20,106.22,24.82,6.00,47.39,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,3,1,
17:14:4:9,1736.65,17,14,4,9,104.84,24.50,3.00,42.02,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,
19:19:13:9,1244.38,19,19,13,9,118.16,27.61,7.00,42.06,1,1,1,0,1,0,0,0,0,1,0,1,0,0,2,4,0,
19:18:13:20,1418.08,19,18,13,20,116.11,27.13,7.00,47.45,0,5,0,0,0,1,2,0,0,0,0,0,0,0,3,1,4,
16:12:16:20,2806.83,16,12,16,20,97.34,22.74,8.00,46.99,0,1,0,1,0,1,1,1,0,0,1,2,1,1,2,5,3,
17:14:4:5,1719.14,17,14,4,5,102.27,23.90,3.00,40.04,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,
17:15:11:19,1911.60,17,15,11,19,105.77,24.71,6.00,46.51,0,0,0,1,0,1,1,0,0,1,2,0,0,0,1,3,2,
17:14:4:7,2383.25,17,14,4,7,102.17,23.87,3.00,41.11,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,
19:19:2:2,977.58,19,19,2,2,117.47,27.45,2.00,38.92,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,
19:19:2:4,984.02,19,19,2,4,118.89,27.78,2.00,39.77,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,
19:19:2:6,1645.93,19,19,2,6,118.36,27.65,2.00,40.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
19:19:2:9,1654.59,19,19,2,9,118.70,27.73,2.00,41.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
20:19:13:12,1252.12,20,19,13,12,119.02,27.81,7.00,43.35,1,2,3,0,1,1,1,0,0,1,0,0,0,0,2,5,3,
20:19:13:11,1951.27,20,19,13,11,119.00,27.80,7.00,42.81,2,1,0,0,0,1,0,0,0,0,1,0,1,1,1,5,1,
20:19:13:14,1357.99,20,19,13,14,119.92,28.02,7.00,44.24,1,0,0,1,1,1,0,0,0,0,0,1,1,1,2,2,3,
20:19:13:13,1256.90,20,19,13,13,120.24,28.09,7.00,43.92,0,1,1,2,0,0,1,0,1,0,0,0,0,0,1,4,1,
20:19:13:15,1360.93,20,19,13,15,119.62,27.95,7.00,44.92,1,1,1,0,0,1,1,0,0,0,1,1,0,0,4,3,0,
20:19:13:18,1318.11,20,19,13,18,120.05,28.05,7.00,46.22,0,0,0,1,0,0,0,0,2,0,1,0,0,2,3,2,1,
20:19:13:19,1369.64,20,19,13,19,119.54,27.93,7.00,46.69,0,1,0,1,0,0,0,0,0,0,1,2,2,0,3,2,2,
15:9:11:9,2619.20,15,9,11,9,89.78,20.98,6.00,42.16,1,1,0,1,0,1,0,1,0,0,0,0,0,0,2,1,2,
16:11:7:9,2476.67,16,11,7,9,95.45,22.30,4.00,41.89,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,
19:18:2:9,1650.98,19,18,2,9,115.04,26.88,2.00,41.92,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,
14:8:9:20,3207.60,14,8,9,20,86.52,20.22,5.00,46.88,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,2,2,
19:17:4:5,1685.87,19,17,4,5,114.04,26.65,3.00,40.09,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,3,
19:17:4:4,1075.67,19,17,4,4,112.91,26.38,3.00,39.96,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,
19:17:4:1,1014.07,19,17,4,1,114.32,26.71,3.00,37.20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,
19:17:4:3,1074.08,19,17,4,3,113.49,26.52,3.00,39.46,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,
19:17:4:2,1020.89,19,17,4,2,113.75,26.58,3.00,38.74,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
18:15:9:16,1856.67,18,15,9,16,106.77,24.95,5.00,45.42,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,1,
20:19:13:20,1374.79,20,19,13,20,120.23,28.09,7.00,47.50,1,1,1,0,0,0,1,0,0,1,1,1,0,0,2,2,3,
18:15:9:15,1806.11,18,15,9,15,107.97,25.23,5.00,44.72,0,1,1,2,0,1,0,0,1,0,0,0,1,0,1,5,1,
18:15:9:18,1911.13,18,15,9,18,108.23,25.29,5.00,46.24,0,1,0,0,1,0,1,0,1,1,0,0,0,0,2,2,1,
18:15:9:17,1859.89,18,15,9,17,106.85,24.96,5.00,45.83,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,
19:17:4:9,1696.71,19,17,4,9,113.62,26.55,3.00,42.02,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,
18:15:9:19,1864.64,18,15,9,19,107.05,25.01,5.00,46.71,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,2,3,
19:17:4:8,1740.43,19,17,4,8,113.95,26.62,3.00,41.45,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,
18:17:16:18,2110.11,18,17,16,18,111.89,26.14,8.00,46.21,2,1,1,2,1,0,0,0,0,1,0,0,1,0,3,3,3,
19:18:2:4,979.49,19,18,2,4,116.40,27.20,2.00,39.64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,
18:17:16:12,1392.03,18,17,16,12,112.38,26.26,8.00,43.40,0,0,0,2,0,1,1,1,0,0,2,0,0,0,3,4,0,
19:18:2:3,976.40,19,18,2,3,115.80,27.06,2.00,39.20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,
14:8:9:19,3251.74,14,8,9,19,85.58,19.99,5.00,46.70,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,3,
18:15:9:10,1280.48,18,15,9,10,107.41,25.10,5.00,42.64,0,1,0,1,1,1,0,0,0,0,0,0,1,0,4,1,0,
19:18:2:2,1629.87,19,18,2,2,114.83,26.83,2.00,38.94,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,
14:8:9:18,3202.21,14,8,9,18,86.82,20.29,5.00,45.92,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,3,
19:18:2:1,966.83,19,18,2,1,115.50,26.98,2.00,37.39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
18:15:9:12,1845.09,18,15,9,12,107.61,25.14,5.00,43.18,1,1,0,0,0,2,1,0,0,0,0,0,0,1,2,1,3,
19:18:2:8,1649.77,19,18,2,8,116.63,27.25,2.00,41.54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
18:15:9:11,1840.56,18,15,9,11,107.78,25.18,5.00,42.75,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,
19:18:2:7,1645.68,19,18,2,7,116.63,27.25,2.00,40.95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
19:18:2:6,1643.10,19,18,2,6,114.62,26.78,2.00,40.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
18:15:9:14,1848.25,18,15,9,14,107.21,25.05,5.00,44.46,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,2,2,
19:18:2:5,1638.72,19,18,2,5,115.03,26.88,2.00,40.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
18:15:9:13,1800.45,18,15,9,13,107.02,25.00,5.00,43.89,1,0,0,2,0,1,0,0,0,0,0,0,1,0,1,3,1,
19:18:13:15,1910.35,19,18,13,15,116.28,27.17,7.00,44.58,1,1,0,0,0,2,0,0,1,0,1,0,0,1,1,5,1,
19:17:13:20,1465.76,19,17,13,20,113.23,26.46,7.00,47.88,2,0,1,1,1,0,0,1,0,0,1,0,0,0,4,0,3,
19:18:13:14,1300.51,19,18,13,14,114.97,26.86,7.00,44.29,1,0,0,2,4,0,0,0,0,0,1,0,0,0,3,3,2,
19:18:13:13,1348.70,19,18,13,13,115.64,27.02,7.00,43.71,1,0,0,0,1,1,0,0,0,1,0,1,1,1,2,3,2,
19:18:13:12,1294.65,19,18,13,12,114.51,26.75,7.00,43.26,0,1,0,1,0,0,1,1,0,1,0,0,1,1,3,4,0,
19:18:13:19,1363.14,19,18,13,19,116.00,27.10,7.00,46.49,0,1,1,2,0,1,0,0,0,0,0,0,1,0,1,4,1,
19:18:13:18,2016.95,19,18,13,18,117.26,27.40,7.00,45.91,1,0,0,1,1,1,0,0,0,1,0,1,2,1,2,4,3,
19:18:13:17,1360.59,19,18,13,17,116.34,27.18,7.00,45.88,1,1,0,1,0,1,0,0,0,0,0,1,0,1,3,3,0,
19:18:13:16,1356.20,19,18,13,16,116.05,27.11,7.00,45.09,2,1,0,1,0,1,0,0,0,0,0,1,0,1,4,3,0,
19:18:13:11,1245.14,19,18,13,11,116.25,27.16,7.00,42.81,0,1,0,0,0,1,0,0,1,0,1,1,2,1,2,6,0,
19:18:13:10,1295.72,19,18,13,10,117.27,27.40,7.00,42.61,1,0,0,2,4,0,0,0,0,1,1,0,0,0,4,3,2,
19:18:2:10,1655.50,19,18,2,10,117.15,27.37,2.00,42.29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
18:15:9:20,1865.22,18,15,9,20,107.05,25.01,5.00,46.83,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,2,3,
20:20:16:18,1323.74,20,20,16,18,123.84,28.93,8.00,46.17,1,1,0,0,1,0,0,0,0,1,0,1,2,0,2,3,2,
19:17:13:10,1338.94,19,17,13,10,113.81,26.59,7.00,42.33,1,1,0,1,0,0,2,0,0,1,1,0,1,0,4,4,0,
20:20:16:19,1325.49,20,20,16,19,124.19,29.02,8.00,46.41,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,4,2,
20:20:9:20,1177.83,20,20,9,20,124.15,29.01,5.00,46.89,1,2,0,0,0,1,1,0,1,0,0,0,1,0,2,2,3,
19:17:13:12,1293.38,19,17,13,12,113.32,26.48,7.00,43.37,0,1,1,0,0,1,0,3,1,0,0,0,0,0,1,5,1,
19:17:13:11,1340.55,19,17,13,11,113.57,26.53,7.00,42.73,0,0,0,2,0,1,1,1,0,0,2,0,0,0,3,4,0,
17:13:4:8,1729.24,17,13,4,8,101.43,23.70,3.00,41.60,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,
17:13:4:9,1732.16,17,13,4,9,101.16,23.64,3.00,42.05,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,
20:20:16:15,1364.31,20,20,16,15,122.21,28.55,8.00,44.79,1,0,0,2,4,1,0,0,0,1,1,0,0,0,4,4,2,
20:20:16:17,1324.50,20,20,16,17,126.41,29.53,8.00,45.52,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,4,3,
19:17:13:18,1459.14,19,17,13,18,114.25,26.69,7.00,46.24,0,4,1,2,0,0,1,0,0,1,1,0,0,0,6,3,1,
20:19:7:11,1051.50,20,19,7,11,120.42,28.13,4.00,42.79,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,4,0,
19:17:13:17,1404.59,19,17,13,17,113.91,26.61,7.00,45.43,0,1,2,0,1,0,0,0,1,1,0,0,0,0,3,2,1,
20:19:7:10,1097.63,20,19,7,10,119.13,27.83,4.00,42.41,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,2,1,
20:19:7:13,1105.20,20,19,7,13,119.66,27.96,4.00,43.76,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,
20:19:7:12,1102.19,20,19,7,12,119.08,27.82,4.00,43.34,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,3,0,
19:17:13:19,2017.96,19,17,13,19,113.66,26.56,7.00,46.37,1,1,1,0,0,1,1,0,0,0,1,1,0,0,4,3,0,
19:17:13:14,1298.48,19,17,13,14,114.14,26.67,7.00,44.14,2,0,1,0,1,0,0,0,1,0,0,1,1,0,3,4,0,
20:19:7:15,1109.71,20,19,7,15,119.74,27.98,4.00,44.64,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2,
19:17:13:13,1396.70,19,17,13,13,114.16,26.67,7.00,43.78,2,0,0,2,0,1,1,0,0,0,0,1,1,0,3,3,2,
20:19:7:14,1108.81,20,19,7,14,120.41,28.13,4.00,44.25,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2,0,
20:19:7:17,1213.42,20,19,7,17,119.13,27.83,4.00,45.57,1,0,0,0,0,1,1,0,1,0,1,0,0,0,5,0,0,
19:17:13:16,2008.41,19,17,13,16,113.10,26.42,7.00,45.26,0,1,1,2,0,1,0,1,1,0,0,1,0,0,3,3,2,
20:19:7:16,1113.07,20,19,7,16,119.61,27.95,4.00,45.35,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,0,
19:17:13:15,1350.68,19,17,13,15,113.57,26.53,7.00,44.76,0,0,0,0,1,0,0,1,1,0,3,1,0,3,5,3,2,
20:20:9:19,1133.28,20,20,9,19,129.17,30.18,5.00,46.42,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,4,0,
20:20:9:18,1139.24,20,20,9,18,134.28,31.37,5.00,46.02,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,3,1,
20:20:9:15,1113.69,20,20,9,15,121.79,28.45,5.00,44.80,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,4,1,
20:20:9:14,1116.13,20,20,9,14,125.62,29.35,5.00,44.09,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,5,0,
20:20:9:17,1126.82,20,20,9,17,127.93,29.89,5.00,45.51,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,4,1,
20:20:9:16,1118.41,20,20,9,16,122.93,28.72,5.00,45.39,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,4,0,
20:20:9:11,1103.40,20,20,9,11,120.76,28.22,5.00,43.06,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,5,1,
20:20:9:10,1101.59,20,20,9,10,121.52,28.39,5.00,42.46,0,0,0,1,0,2,0,0,1,0,0,0,1,0,2,3,0,
20:20:9:13,1106.39,20,20,9,13,120.76,28.22,5.00,43.66,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,4,0,
20:20:9:12,1108.25,20,20,9,12,123.01,28.74,5.00,43.33,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,5,0,
14:8:9:12,3229.84,14,8,9,12,84.43,19.73,5.00,43.20,2,0,0,0,0,1,0,2,1,0,1,1,0,0,3,0,5,
20:19:7:20,1786.77,20,19,7,20,120.42,28.14,4.00,47.41,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,1,
14:8:9:13,3235.98,14,8,9,13,86.38,20.18,5.00,43.82,1,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,4,
20:20:16:20,1379.43,20,20,16,20,124.08,28.99,8.00,47.23,1,1,1,1,2,0,1,0,0,0,0,0,0,1,2,4,2,
20:19:7:19,1168.59,20,19,7,19,119.53,27.93,4.00,46.48,0,0,0,0,1,0,0,0,0,1,1,0,1,0,2,1,1,
20:19:7:18,1777.85,20,19,7,18,119.83,28.00,4.00,45.96,0,0,2,0,0,0,0,3,1,0,0,0,0,0,1,4,1,
18:17:16:20,2070.06,18,17,16,20,112.27,26.23,8.00,47.22,1,1,1,0,0,1,1,0,0,0,1,1,0,0,4,3,0,
18:15:11:18,1955.66,18,15,11,18,108.09,25.25,6.00,45.91,1,2,0,0,0,1,1,0,1,0,0,0,1,1,3,2,3,
18:15:11:19,1400.88,18,15,11,19,107.60,25.14,6.00,46.66,0,3,0,0,0,1,1,1,0,1,0,0,1,0,5,2,1,
18:15:11:16,2002.77,18,15,11,16,107.59,25.14,6.00,45.24,1,1,0,1,1,0,1,0,0,0,0,1,0,0,3,1,2,
18:15:11:17,1958.82,18,15,11,17,107.94,25.22,6.00,45.82,1,1,0,1,0,2,1,0,0,1,0,0,0,1,3,2,3,
18:15:11:14,1853.45,18,15,11,14,107.34,25.08,6.00,44.39,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,2,3,
18:15:11:15,1392.06,18,15,11,15,108.11,25.26,6.00,44.73,2,1,1,0,0,0,0,0,0,0,1,0,1,0,6,0,0,
18:15:11:12,1897.34,18,15,11,12,108.14,25.27,6.00,43.56,0,0,0,0,0,1,0,0,1,0,1,1,2,1,1,6,0,
18:15:11:13,1943.32,18,15,11,13,107.62,25.15,6.00,43.87,1,0,1,0,0,0,1,0,0,1,1,1,0,0,2,2,2,
17:14:9:4,1869.95,17,14,9,4,104.07,24.32,5.00,40.00,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,2,1,
18:15:11:10,1936.02,18,15,11,10,107.31,25.07,6.00,42.39,1,1,0,1,0,1,1,0,0,0,1,0,0,0,3,2,1,
17:14:9:5,1823.25,17,14,9,5,104.43,24.40,5.00,40.19,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0,
18:15:11:11,1988.35,18,15,11,11,106.99,25.00,6.00,42.96,1,1,1,2,0,0,0,0,0,1,0,0,1,0,3,2,2,
17:14:9:6,1822.91,17,14,9,6,102.84,24.03,5.00,40.62,1,0,0,1,1,0,0,3,1,0,0,0,0,0,4,2,1,
17:14:9:7,1781.02,17,14,9,7,103.83,24.26,5.00,41.21,0,0,0,0,1,0,1,0,2,0,0,0,2,0,1,4,1,
17:14:9:8,1783.94,17,14,9,8,103.57,24.20,5.00,41.66,0,0,0,0,1,0,1,0,2,0,0,0,2,0,1,4,1,
17:14:9:9,1879.92,17,14,9,9,103.30,24.14,5.00,41.88,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2,1,1,
15:11:11:14,2636.78,15,11,11,14,93.61,21.87,6.00,44.45,1,0,0,1,0,2,0,0,0,1,1,0,0,1,3,1,3,
15:11:11:13,2632.43,15,11,11,13,93.82,21.92,6.00,43.76,0,1,0,1,0,0,1,1,0,1,0,0,0,0,2,1,2,
15:11:11:16,3248.42,15,11,11,16,94.47,22.07,6.00,45.08,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,2,4,
15:11:7:20,3167.06,15,11,7,20,93.20,21.78,4.00,47.14,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,4,
15:11:11:15,2587.20,15,11,11,15,94.43,22.06,6.00,44.55,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,2,4,
15:11:11:18,2651.47,15,11,11,18,94.25,22.02,6.00,46.26,1,1,0,0,0,0,2,0,1,0,0,1,0,0,3,0,3,
15:11:11:17,2694.78,15,11,11,17,93.61,21.87,6.00,45.77,0,0,0,3,0,1,0,0,0,0,1,2,0,0,4,1,2,
17:14:9:3,1818.98,17,14,9,3,104.36,24.38,5.00,39.43,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,2,
15:11:11:19,2651.07,15,11,11,19,93.48,21.84,6.00,46.59,0,1,0,2,1,0,0,0,1,0,0,1,1,0,3,1,3,
15:11:11:10,2575.66,15,11,11,10,93.34,21.81,6.00,42.34,0,0,1,0,2,0,1,1,0,1,1,0,0,1,1,3,4,
15:11:11:12,2629.98,15,11,11,12,93.04,21.74,6.00,43.30,0,0,0,0,0,0,1,2,1,0,1,0,0,0,1,3,1,
15:11:7:5,2465.99,15,11,7,5,93.68,21.89,4.00,40.30,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,
19:17:16:9,1338.58,19,17,16,9,113.94,26.62,8.00,42.22,1,0,0,1,1,1,0,0,0,1,0,1,2,1,2,4,3,
18:15:11:20,1927.72,18,15,11,20,107.45,25.11,6.00,49.21,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,2,3,
15:11:7:10,3134.94,15,11,7,10,93.88,21.93,4.00,42.46,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,
15:11:7:19,3163.26,15,11,7,19,93.67,21.88,4.00,46.53,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,
15:11:7:18,3161.40,15,11,7,18,94.18,22.06,4.00,46.20,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,
15:11:7:17,3157.42,15,11,7,17,94.42,22.06,4.00,45.60,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,
19:18:13:9,1993.18,19,18,13,9,115.44,26.97,7.00,42.17,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,2,3,
15:11:7:16,3153.27,15,11,7,16,94.38,22.05,4.00,45.01,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,3,
15:11:7:15,3149.48,15,11,7,15,93.88,21.94,4.00,44.53,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,1,
15:11:7:14,3148.92,15,11,7,14,94.02,21.97,4.00,44.44,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,0,0,
15:11:7:13,2489.03,15,11,7,13,94.45,22.07,4.00,43.86,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,2,
19:18:7:7,1085.62,19,18,7,7,114.78,26.82,4.00,41.37,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2,
19:17:7:12,1754.36,19,17,7,12,113.38,26.49,4.00,43.21,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,2,2,
19:17:7:13,1195.19,19,17,7,13,113.40,26.50,4.00,43.71,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,1,
19:18:7:6,1082.46,19,18,7,6,115.50,26.99,4.00,40.51,0,0,0,1,0,0,0,0,2,0,0,0,0,1,3,0,1,
19:18:7:5,1078.61,19,18,7,5,114.56,26.77,4.00,40.03,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,
19:18:11:3,1178.33,19,18,11,3,116.02,27.11,6.00,39.52,0,3,0,0,0,0,1,1,0,0,1,0,1,0,4,2,1,
19:17:7:10,1139.20,19,17,7,10,113.30,26.47,4.00,42.54,0,1,0,0,1,0,0,0,1,0,0,0,1,0,2,1,1,
15:9:11:20,3262.12,15,9,11,20,89.05,20.81,6.00,47.74,0,2,0,0,1,0,1,0,0,1,0,0,1,1,1,2,4,
19:18:7:4,1077.13,19,18,7,4,114.56,26.77,4.00,39.74,1,0,0,0,0,1,0,0,1,1,0,0,1,0,3,2,0,
19:17:7:11,1750.18,19,17,7,11,113.29,26.47,4.00,42.95,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,
19:18:11:4,1227.29,19,18,11,4,114.81,26.83,6.00,39.69,0,3,0,0,0,0,1,1,0,0,1,0,1,0,4,2,1,
19:18:11:5,1180.39,19,18,11,5,114.92,26.85,6.00,40.28,1,1,1,0,1,0,0,0,0,1,0,0,0,0,2,3,0,
17:13:11:9,2586.15,17,13,11,9,102.09,23.85,6.00,42.13,1,2,0,0,0,0,0,0,0,0,1,1,0,0,1,2,2,
19:18:11:6,1186.51,19,18,11,6,117.30,27.41,6.00,40.76,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,2,3,
17:13:11:8,1925.87,17,13,11,8,101.89,23.80,6.00,41.51,2,1,0,1,0,0,1,0,0,0,1,0,0,0,2,3,1,
19:18:11:7,1185.57,19,18,11,7,115.12,26.90,6.00,41.25,0,1,0,2,0,0,1,1,1,0,1,0,1,0,2,5,1,
17:13:11:7,1875.25,17,13,11,7,102.09,23.85,6.00,41.32,1,1,0,0,0,1,1,1,1,0,1,0,0,0,3,4,0,
19:18:7:9,1091.88,19,18,7,9,117.21,27.39,4.00,41.86,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,2,1,
19:18:7:8,1087.69,19,18,7,8,115.94,27.09,4.00,41.42,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,1,
19:18:11:8,1189.78,19,18,11,8,116.18,27.15,6.00,41.76,0,1,0,1,0,0,1,0,0,1,0,0,1,1,2,4,0,
19:17:7:18,1814.59,19,17,7,18,113.44,26.51,4.00,46.00,0,0,0,0,2,2,0,0,1,0,1,0,0,3,5,2,2,
19:17:9:2,1169.91,19,17,9,2,113.20,26.45,5.00,38.72,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,
19:17:9:1,1118.91,19,17,9,1,113.69,26.56,5.00,38.36,1,1,0,1,0,1,1,0,0,0,0,0,0,0,2,2,1,
19:17:7:19,1773.29,19,17,7,19,113.59,26.54,4.00,46.47,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,2,0,
19:17:7:16,1764.68,19,17,7,16,113.42,26.50,4.00,44.98,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,3,
19:17:7:17,1814.95,19,17,7,17,113.66,26.55,4.00,45.85,0,0,0,0,2,2,0,0,1,0,0,1,0,3,5,2,2,
15:10:9:6,2514.10,15,10,9,6,91.30,21.33,5.00,40.66,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,0,2,
