Dimensions,7
Normalised,20
evals,500
key,dist,emissions,MicroDepots,byMD,Bikes,Walkers,EVs,time,ActualEmissions,ActualMD,ActualByMD,ActualBikes,ActualWalkers,ActualEVs,ActualTime,sol
19:5:11:1:1:2:5,5802.33,19,5,11,1,1,2,5,111.60,8.00,52.70,1.00,1.00,6.00,5170376.00,S1C39SC41SC42SC43SC46SC45SC44SC40SC12SC17SC16SC14SC15SC13SC6SC7SC9SC10SC11SC8SC24SC51SC50SC52SC53SC54SC55SC56SC57SC58SC59SC60SC61SC62SC63SD15C68ED20C73EC65EC66EC70EC1EC18EC3EC4EC25EC20EC19EC2EC21EC22EC23EC5EC32EC31EC47EC30EC48EC29EC28EC49EC27EC26EC33EC34EC35EC36EC37ED25C74ED9C38BD14C69ED5C64ED12C71WC72WD31C67E
19:5:11:1:1:2:6,5880.79,19,5,11,1,1,2,6,107.45,9.00,55.41,2.00,1.00,6.00,5885365.00,S1C30SC48SC29SC28SC49SC27SC26SC12SC17SC16SC14SC15SC13SC6SC7SC9SC10SC11SC8SC5SC24SC23SC44SC51SC50SC52SC53SC54SC55SC56SC61SC62SC63SD17C72ED13C69ED15C68EC67EC65EC66EC1EC18EC3EC4EC25EC20EC19EC2EC21EC22ED11C31BC47BC32BC33BC34BC35BC36BC37BC38BC39BC40BC41BC42BC43BC45BC46BC57BC58BC59BC60BD8C73ED2C71WD7C64BD5C74ED4C70E
5:6:20:2:1:1:4,2641.63,5,6,20,2,1,1,4,30.32,10.00,100.00,8.00,1.00,1.00,4982422.00,S1D16C31BC47BC30BC48BC29BC43BC45BC46BC57BC58BC59BC60BC56BC26BC27BC49BC28BC55BC54BC53BD21C71WC72WD25C33BC34BC35BC36BC37BC38BC39BC40BC41BC42BC44BC61BC52BC50BC51BC62BC63BC14BC15BC13BC16BD10C18BC3BC4BC20BC19BC25BC2BC21BC22BC5BC23BC24BC32BD6C73BD3C64BC74BD33C66BC70BD30C65BD31C1BC12BC17BC6BC11BC7BC8BC9BC10BD32C68EC67EC69E
19:5:11:1:1:2:7,5889.07,19,5,11,1,1,2,7,108.44,8.00,55.41,2.00,1.00,6.00,6235255.00,S1C30SC48SC29SC28SC49SC27SC26SC12SC17SC16SC14SC15SC13SC6SC7SC9SC10SC11SC8SC5SC24SC23SC44SC51SC50SC52SC53SC54SC55SC56SC61SC62SC63SD17C72ED13C69ED15C68EC67EC65EC66EC1EC18EC3EC4EC25EC20EC19EC2EC21EC22ED11C31BC47BC32BC33BC34BC35BC36BC37BC38BC39BC40BC41BC42BC43BC45BC46BC57BC58BC59BC60BD8C73ED2C71WD2C74ED7C64BD4C70E
20:7:8:1:1:3:18,10473.82,20,7,8,1,1,3,18,113.73,13.00,41.89,3.00,2.00,11.00,11128058.00,S1C48SC29SC28SC49SC27SC26SC36SC37SC38SC39SC41SC42SC43SC46SC45SC44SC40SC12SC17SC16SC14SC15SC13SC6SC7SC9SC10SC11SC8SC51SC50SC52SC53SC54SC55SC56SC57SC58SC59SC60SC61SC62SC63SD17C31BD13C69ED13C5WC23WD21C30ED15C71BC72BC73BD19C25WC19WC20WC2WC21WC22WC24WD33C67ED30C68ED11C3BC4BD10C1EC18ED10C33ED23C65EC66ED7C70ED5C64EC74ED5C34EC35ED4C47EC32E
19:5:11:1:1:2:8,6513.74,19,5,11,1,1,2,8,109.80,8.00,52.70,5.00,0.00001,6.00,6498794.00,S1C28SC49SC27SC26SC12SC17SC16SC14SC15SC13SC6SC7SC9SC10SC11SC8SC25SC20SC19SC2SC21SC22SC23SC24SC44SC51SC50SC52SC53SC54SC55SC56SC61SC62SC63SD17C69ED13C71EC72ED21C31BC47BC32BC33BC34BC35BC36BC37BC38BC39BC40BC41BC42BC43BC45BC46BC57BC58BC59BC60BD25C30EC48ED5C74BD5C64ED5C5BD4C73EC65EC66EC70EC68EC1EC18EC3ED4C4BD2C29ED1C67B
5:6:20:2:1:1:7,4278.25,5,6,20,2,1,1,7,25.97,10.00,100.00,8.00,0.00001,3.00,6262389.00,S1D34C68EC67EC69ED19C62EC63EC58EC59EC60EC61ED22C70BC73BD11C74BD10C57BD6C71BC72BC65BD5C66BD3C64BD4C1EC3EC4EC25EC20EC19EC2EC21EC22EC23EC5EC32EC31EC47EC30EC48EC29EC28EC49EC27EC26EC33EC34EC35EC36EC37EC38EC39EC41EC42EC43EC46EC45EC44EC40EC12EC17EC16EC14EC15EC13EC6EC7EC9EC10EC11EC8EC24EC51EC50EC52EC53EC54EC55ED4C56BD2C18B
5:6:20:2:1:1:8,4368.19,5,6,20,2,1,1,8,25.97,10.00,100.00,8.00,0.00001,3.00,6443068.00,S1D34C68EC67EC69ED19C62EC63EC60ED22C70BC65BD11C74BD10C61BD6C71BC72BC66BC18BC3BD5C31BD3C73BD4C1EC4EC25EC20EC19EC2EC21EC22EC23EC5EC32EC33EC34EC35EC36EC37EC38EC39EC41EC42EC43EC46EC45EC44EC40EC47EC30EC48EC29EC28EC49EC27EC26EC12EC17EC16EC14EC15EC13EC6EC7EC9EC10EC11EC8EC24EC51EC50EC52EC53EC54EC55EC56EC57EC58ED4C59BD2C64B
5:6:20:2:1:1:5,3350.66,5,6,20,2,1,1,5,29.23,11.00,100.00,6.00,3.00,2.00,5409192.00,S1D16C34BC35BC36BC37BC38BC39BC40BC41BC42BC44BC61BC52BC50BC51BC62BC63BC14BC15BC13BC16BD12C71WD11C1BC12BC17BC6BC11BC7BC8BC9BC10BD8C73EC65EC66EC69ED6C33BD5C68EC67ED4C64WD25C74BC70BD24C31BC47BC30BC48BC29BC43BC45BC46BC57BC58BC59BC60BC56BC26BC27BC49BC28BC55BC54BC53BD27C72WD19C18BC3BC4BC20BC19BC25BC2BC21BC22BC5BC23BC24BC32B
5:6:20:2:1:1:6,2761.83,5,6,20,2,1,1,6,27.16,10.00,100.00,8.00,2.00,1.00,5524987.00,S1D12C71BC72BC73BD9C33BC34BC35BC36BC37BC38BC39BC40BC41BC42BC44BC59BC60BC56BC26BC27BC49BC28BC55BC54BC53BC52BD8C64WD7C18BC3BC4BC20BC19BC25BC2BC21BC22BC5BC23BC24BC32BD6C65BD5C1BC14BC15BC13BC16BC17BC12BC6BC11BC7BC8BD28C74BC70BD29C66WD32C68EC67EC69ED32C9BC10BC61BC50BC51BC62BC63BD18C31BC47BC30BC48BC29BC43BC45BC46BC57BC58B
