key,dist,emissions,MicroDepots,byMD,Bikes,Walkers,EVs,time,ActualEmissions,ActualMD,ActualByMD,ActualBikes,ActualWalkers,ActualEVs,ActualTime,sol
16:4:11:1:1:1:6,1933.94,16,4,11,1,1,1,6,58.20,7.00,52.63,3.00,3.00,1.00,3500192.00,S1C50SC25SC10SC22SC55SC57SC20SC21SC11SC54SC51SC52SC56SC8SC9SC13SC14SC12SC15SC19SC44SC42SC43SC40SC7SC37SC38SD15C2BC49BC4BC39BD20C31BC30BC29BC28BD8C24WC26WC27WD7C23WD29C16WC17WC18WD35C45EC46EC47EC5EC34EC48EC3EC32EC6EC33EC36EC53EC41ED18C1BC35B
18:5:9:1:1:1:10,2024.09,18,5,9,1,1,1,10,65.10,8.00,43.86,3.00,4.00,1.00,4716754.00,S1C6SC36SC42SC43SC4SC41SC40SC45SC44SC37SC38SC7SC16SC17SC18SC19SC20SC55SC57SC10SC54SC51SC52SC56SC8SC9SC13SC14SC12SC15SC21SC1SD15C47BC5BC46BD34C33WD33C53BC39BD20C31BC30BC29BC28BD12C50EC24EC26EC25EC23EC27EC2EC49EC3EC32ED19C34WC48WD4C22WC11WD2C35W
16:4:11:1:1:1:9,2073.42,16,4,11,1,1,1,9,57.83,7.00,56.14,4.00,3.00,1.00,4448179.00,S1C3SC32SC6SC33SC36SC41SC39SC40SC45SC46SC42SC43SC34SC48SC44SC7SC8SC9SC51SC52SC21SC11SC54SC14SC12SD16C35BC1BD17C47WC5WC4WD35C15BC16BC17BC18BC19BC20BC55BC57BC10BC22BD31C38BC37BC53BD5C23WD7C13BC56BD4C25EC28EC30EC31EC50EC29EC2EC49ED4C24WC26WC27W
16:4:11:1:1:1:8,2013.22,16,4,11,1,1,1,8,58.58,7.00,54.39,4.00,2.00,1.00,4236654.00,S1C1SC34SC48SC4SC5SC47SC42SC43SC53SC41SC39SC40SC45SC46SC44SC7SC8SC9SC51SC52SC21SC11SC54SC14SC12SC35SD17C15BC16BC17BC18BC19BC20BC55BC57BC10BC22BD22C13BC56BD23C25EC50EC2EC49EC3EC32EC6ED8C23WD14C31BC30BC29BC28BD19C33BC36BC38BC37BD4C24WC26WC27W
3:2:20:1:1:2:1,4502.27,3,2,20,1,1,2,1,11.96,4.00,100.00,0.00001,0.00001,5.00,1403246.00,S1D20C44EC46EC37EC38EC7EC16EC17EC18EC19EC20EC55EC57EC51EC52EC56EC8EC9ED24C22EC11EC54EC21EC13EC14EC12EC15ED1C1EC2EC49EC3EC32EC6EC33EC36EC53EC41EC39ED1C34EC48EC4EC5EC47EC42EC43EC40EC45ED18C35EC50EC31EC30EC29EC28EC27EC26EC24EC25EC23EC10E
20:14:9:3:2:5:8,11738.58,20,14,9,3,2,5,8,82.25,25.00,47.37,8.00,5.00,13.00,4238930.00,S1C55SC57SC20SC21SC22SC48SC6SC36SC53SC45SC46SC42SC43SC5SC4SC39SC40SC44SC7SC15SC17SC18SC19SC51SC8SC9SC14SC12SC11SC54SD16C33ED13C50ED12C30ED21C31BD15C2ED20C47BD22C34ED22C13BC56BD23C3ED11C10ED10C27WD8C32ED3C52BD6C25ED25C26ED24C28BD28C23WD27C24ED14C29BD1C35BD18C1BD19C49ED30C41WD31C38WD32C37ED29C16W
3:2:20:1:1:2:4,4734.86,3,2,20,1,1,2,4,12.03,4.00,100.00,2.00,0.00001,5.00,2859526.00,S1D20C31BC30BC29BC28BD20C10EC22EC55EC57EC20EC21EC11EC54EC8EC9ED9C24EC26EC25EC23EC27EC50EC2EC49EC3EC32ED9C52BC51BC56BD9C35EC34EC48EC4EC5EC47EC42EC43EC40EC45ED8C1EC33EC6EC36EC53EC41EC39ED2C44EC46EC37EC38EC7EC16EC17EC18EC19EC13EC14EC12EC15E
15:3:16:1:1:1:3,3348.09,15,3,16,1,1,1,3,53.76,6.00,78.95,3.00,0.00001,3.00,2753141.00,S1C34SC48SC4SC5SC42SC43SC40SC44SC1SC35SC37SC38SD15C2EC49EC3EC32EC6EC33EC36EC53EC41EC39ED22C28EC27EC25EC23EC30EC31EC50EC29EC10EC22EC55EC57EC20EC21ED6C11EC54EC52EC56EC8EC9EC13EC14EC12ED7C24BC26BD35C15BC16BC17BC18BC19BC51BD29C7BC45BC46BC47B
8:3:17:1:1:2:3,4609.40,8,3,17,1,1,2,3,28.57,6.00,85.96,0.00001,2.00,5.00,2717902.00,S1C15SC13SC14SC12SC21SC11SC54SC35SD15C4EC42EC43EC40EC44EC37EC38EC7EC16EC17EC18EC19EC20EC55EC57ED15C49WD34C33WD30C45EC46EC47EC5EC34EC48EC3EC32EC6EC36EC53EC41EC39ED29C8EC9EC51EC52EC56EC10EC22EC24EC26ED8C1ED4C25EC23EC28EC27EC30EC31EC50EC29EC2E
11:7:19:2:1:2:1,5216.27,11,7,19,2,1,2,1,40.72,12.00,94.74,6.00,1.00,5.00,2234341.00,S1C37SC38SC40SD15C2BC49BD34C33BC3BC32BD33C42EC43EC5EC34EC48EC6EC36EC53EC41EC39ED20C50EC25EC23EC10EC22EC55EC57EC20EC21EC11ED23C13BD24C28ED8C35ED3C24WC26WD5C54EC51EC52EC56EC8EC9EC15EC16EC17EC18EC19EC14EC12EC44EC4ED2C31BC30BC29BC27BD1C1BD30C7BC45BC46BC47B
15:3:16:1:1:1:4,3300.26,15,3,16,1,1,1,4,54.54,5.00,78.95,2.00,1.00,3.00,2977399.00,S1C4SC5SC42SC43SC40SC45SC46SC35SC44SC37SC38SC7SD19C34WC48WC47WD22C13BC14BC12BD11C52BC51BC56BD28C10EC22EC55EC57EC20EC21EC11EC54EC8EC9EC15EC16EC17EC18EC19ED4C1EC2EC49EC3EC32EC6EC33EC36EC53EC41EC39ED4C24EC26EC25EC23EC28EC27EC30EC31EC50EC29E
15:3:16:1:1:1:5,3221.18,15,3,16,1,1,1,5,53.90,6.00,78.95,1.00,2.00,3.00,3315083.00,S1C1SC40SC45SC46SC44SC37SC38SC7SC13SC14SC12SC21SD16C50EC31EC30EC29EC28EC25EC2EC49EC4ED26C11EC54EC51EC52EC56EC8EC9ED4C24WC26WC27WD1C35WD33C42EC43EC47EC5EC34EC48EC3EC32EC6EC33EC36EC53EC41EC39ED35C15BC16BC17BC18BC19BC20BC55BC57BC10BC22BC23B
15:3:16:1:1:1:6,3915.43,15,3,16,1,1,1,6,53.42,6.00,80.70,0.00001,2.00,4.00,3497524.00,S1C1SC35SC45SC46SC44SC7SC18SC19SC13SC14SC12SD16C10EC54EC55EC57EC20EC21EC51EC52EC56EC8EC9ED12C2EC49EC4EC5EC34EC48EC47EC42EC43EC40ED26C24EC26EC25EC23EC28EC27EC30EC31EC50EC29ED4C22WC11WD35C15WC16WC17WD32C38EC37EC6EC33EC3EC32EC36EC53EC41EC39E
8:3:17:1:1:2:2,4728.22,8,3,17,1,1,2,2,29.34,5.00,85.96,2.00,0.00001,5.00,2492972.00,S1C57SC21SC11SC54SC13SC14SC12SC15SD15C50BD15C2EC49EC3EC32EC6EC33EC36EC53EC41EC39ED10C24BC26BD10C1EC35EC40EC44EC37EC38EC7EC16EC17EC18EC19EC20ED9C55ED29C8EC9EC51EC52EC56EC10EC22EC25EC23ED35C45EC46EC47EC5EC34EC48EC4EC42EC43EC31EC30EC29EC28EC27E
